species,unique_gene_identifiers,other_gene_identifiers,gene_models,descriptions,annotations,sources
osa,SL1|STAMENLESS 1|Os01g0129200,stl1.1,Os01g0129200,stamens transformed to pistils ,,Plant PhenomeNET
osa,SL1|STAMENLESS 1|Os01g0129200,stl1.1,Os01g0129200,stamens transformed to pistils ,,Plant PhenomeNET
osa,SL1|STAMENLESS 1|Os01g0129200,stl1.1,Os01g0129200,Mutant floret has 3 ovaries,,Plant PhenomeNET
osa,SL1|STAMENLESS 1|Os01g0129200,stl1.1,Os01g0129200,female fertile,,Plant PhenomeNET
zma,d9|dwarf plant9|GRMZM2G024973,D9-N2319,GRMZM2G024973,whole plant short,,Plant PhenomeNET
zma,d9|dwarf plant9|GRMZM2G024973,D9-N2319,GRMZM2G024973,leaves broad,,Plant PhenomeNET
zma,d9|dwarf plant9|GRMZM2G024973,D9-N2319,GRMZM2G024973,compact  tassel,,Plant PhenomeNET
zma,d8|dwarf plant8|GRMZM2G144744,D8-Mpl,GRMZM2G144744,whole plant short,,Plant PhenomeNET
zma,d8|dwarf plant8|GRMZM2G144744,D8-Mpl,GRMZM2G144744,leaves broad,,Plant PhenomeNET
zma,d8|dwarf plant8|GRMZM2G144744,D8-Mpl,GRMZM2G144744,compact  tassel,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,small grain,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,dwarf,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,short stems,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,short leaves,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,broad leaves ,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,dark green leaves,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,erect paincles,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,compact panicles,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,small glume,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,round glumes,,Plant PhenomeNET
osa,D1|DAIKOKU DWARF|Os05g0333200,D1.1,Os05g0333200,thick internodes,,Plant PhenomeNET
ath,LeuC1|At4g13430,,At4g13430,Abnormal aliphatic glucosinolate composition,,Plant PhenomeNET
ath,LeuC1|At4g13430,,At4g13430,Elevated levels of intermediates of leucine biosynthesis,,Plant PhenomeNET
ath,LeuC1|At4g13430,,At4g13430,Elevated levels of intermediates of methionine chain elongation,,Plant PhenomeNET
ath,SBE2.1|Starch Branching Enzyme|At2g36390,,At2g36390,Abnormal amylopectin structure,,Plant PhenomeNET
ath,RWP1|At5g41040,,At5g41040,Abnormal aromatic suberin biosynthesis,,Plant PhenomeNET
ath,CYP97A3|Cytochrome P450-Type Monooxygenase|At1g31800,,At1g31800,Abnormal carotenoid levels,,Plant PhenomeNET
ath,CRC|Crabs Claw|At1g69180,,At1g69180,Abnormal carpel development,,Plant PhenomeNET
ath,SPT|Spatula|At4g36930,,At4g36930,Abnormal carpel development,,Plant PhenomeNET
ath,COB|Cobra|At5g60920,,At5g60920,Abnormal cell expansion orientation,,Plant PhenomeNET
ath,COB|Cobra|At5g60920,,At5g60920,Reduced crystalline cellulose in root,,Plant PhenomeNET
ath,ARAD1|Arabinan Deficient|At2g35100,,At2g35100,Abnormal cell wall composition,,Plant PhenomeNET
ath,ARAD1|Arabinan Deficient|At2g35100,,At2g35100,Low arabinose levels,,Plant PhenomeNET
ath,PMI1|Plastid Movement Impaired|At1g42550,,At1g42550,Abnormal chloroplast movement under a variety of light fluence rates,,Plant PhenomeNET
ath,JAC1|J-Domain Protein Required for Chloroplast Accumulation Response|At1g75100,,At1g75100,Abnormal chloroplast movement in the dark,,Plant PhenomeNET
ath,JAC1|J-Domain Protein Required for Chloroplast Accumulation Response|At1g75100,,At1g75100,Abnormal chloroplast movement under weak blue light,,Plant PhenomeNET
ath,CHUP1|Chloroplast Unusual Positioning|At3g25690,,At3g25690,Abnormal chloroplast positioning,,Plant PhenomeNET
ath,PCL1|Phytoclock|At3g46640,,At3g46640,Abnormal circadian rhythms,,Plant PhenomeNET
ath,ZTL|Zeitlupe|At5g57360,,At5g57360,Abnormal circadian rhythms,,Plant PhenomeNET
ath,JMJ30|Jumonji Domain Containing|At3g20810,,At3g20810,Abnormal circadian rhythms in leaf movements,,Plant PhenomeNET
ath,RHM1|Rhamnose Biosynthesis|At1g78570,,At1g78570,Abnormal cotyledon growth,,Plant PhenomeNET
ath,RHM1|Rhamnose Biosynthesis|At1g78570,,At1g78570,Deformed trichomes,,Plant PhenomeNET
ath,RHM1|Rhamnose Biosynthesis|At1g78570,,At1g78570,Slightly shorter root hairs,,Plant PhenomeNET
ath,RHM1|Rhamnose Biosynthesis|At1g78570,,At1g78570,Slightly shorter roots,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Abnormal cotyledon morphology,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Collapsed root tip,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Complete loss of flower formation,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Disorganized vascular patterning,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,High penetrance of complete loss of flowering,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Small rosette,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Sterile,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Thick leaves,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Thick roots,,Plant PhenomeNET
ath,AVP1|Arabidopsis V-PPase|At1g15690,,At1g15690,Uneven leaf margins,,Plant PhenomeNET
ath,FKD1|Forked|At3g63300,,At3g63300,Abnormal cotyledon vascular patterning,,Plant PhenomeNET
ath,TRN1|Tornado|At5g55540,,At5g55540,Abnormal division of lateral root cap,,Plant PhenomeNET
ath,TRN1|Tornado|At5g55540,,At5g55540,Abnormal positioning of lateral root cap,,Plant PhenomeNET
ath,DMS3|Defective in Meristem Silencing|At3g49250,,At3g49250,Abnormal DNA methylation,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,abnormal embryo development,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,incomplete penetrance of seedling lethality,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,abnormal leaf morphology,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,short roots,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,few lateral roots,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,short panicle,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,elongated bracts,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,abnormal spikelet morphology,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,reduced floral organ number,,Plant PhenomeNET
osa,WAF1|Wavy Leaf|Os07g0164000,,Os07g0164000,sterile,,Plant PhenomeNET
ath,FAD3|Fatty Acid Desaturase|At2g29980,,At2g29980,Abnormal fatty acid composition,,Plant PhenomeNET
ath,CYP86B1|Cytochrome P450|At5g23190,,At5g23190,Abnormal fatty acid composition,,Plant PhenomeNET
ath,FAD4|Fatty Acid Desaturase|At4g27030,,At4g27030,Abnormal fatty acid composition,,Plant PhenomeNET
ath,FAD4|Fatty Acid Desaturase|At4g27030,,At4g27030,Elevated palmitic acid levels,,Plant PhenomeNET
ath,At1g10310,,At1g10310,Abnormal fatty acid levels,,Plant PhenomeNET
ath,ANT|Aintegumenta|At4g37750,,At4g37750,Abnormal flower development,,Plant PhenomeNET
ath,ANT|Aintegumenta|At4g37750,,At4g37750,Abnormal ovule development,,Plant PhenomeNET
ath,PRS|Pressed Flower|At2g28610,,At2g28610,Abnormal flower morphology,,Plant PhenomeNET
ath,ETT|Ettin|At2g33860,,At2g33860,Abnormal flower morphology,,Plant PhenomeNET
ath,TSL|Tousled|At5g20930,,At5g20930,Abnormal flower morphology,,Plant PhenomeNET
ath,SAP|Sterile Apetala|At5g35770,,At5g35770,Abnormal flower morphology,,Plant PhenomeNET
ath,OLEO2|Oleosin-deficient mutant|At5g40420,,At5g40420,Abnormal germination,,Plant PhenomeNET
